"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MBA02040C3300FCT00","Vishay Beyschlag/Draloric/BC Components","BC3292CT-ND","","R27","Cut Tape (CT)","Active","1","0.22000","$0.22","2884","8 Weeks","RES 330 OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR25H0004700FR500","Vishay Beyschlag/Draloric/BC Components","56-SFR25H0004700FR500CT-ND","","R6 R16","Cut Tape (CT)","Active","2","0.17000","$0.34","3588","15 Weeks","RES 470 OHM 1/2W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"MBA02040C6800FCT00","Vishay Beyschlag/Draloric/BC Components","BC3284CT-ND","","R19","Cut Tape (CT)","Active","1","0.22000","$0.22","7577","8 Weeks","RES 680 OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR25H0001001FR500","Vishay Beyschlag/Draloric/BC Components","BC4391CT-ND","","R24 R25 R26","Cut Tape (CT)","Active","3","0.17000","$0.51","2412","15 Weeks","RES 1K OHM 1/2W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"MBA02040C1801FC100","Vishay Beyschlag/Draloric/BC Components","BC3467CT-ND","","R18","Cut Tape (CT)","Active","1","0.40000","$0.40","2165","9 Weeks","RES 1.8K OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR25H0002001FR500","Vishay Beyschlag/Draloric/BC Components","BC4404CT-ND","","R20","Cut Tape (CT)","Active","1","0.17000","$0.17","3948","15 Weeks","RES 2K OHM 1/2W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"MBB02070C5601FCT00","Vishay Beyschlag/Draloric/BC Components","BC3836CT-ND","","R13","Cut Tape (CT)","Active","1","0.26000","$0.26","12255","15 Weeks","RES 5.6K OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR25H0004702FR500","Vishay Beyschlag/Draloric/BC Components","56-SFR25H0004702FR500CT-ND","","R10 R11 R21","Cut Tape (CT)","Active","3","0.17000","$0.51","3715","15 Weeks","RES 47K OHM 1/2W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"MBA02040C3003FC100","Vishay Beyschlag/Draloric/BC Components","BC4441CT-ND","","R4","Cut Tape (CT)","Active","1","0.40000","$0.40","1096","8 Weeks","RES 300K OHM 1% 0.4W AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR2500001002FR500","Vishay Beyschlag/Draloric/BC Components","PPC10.0KYCT-ND","","R8 R9","Cut Tape (CT)","Active","2","0.14000","$0.28","54225","15 Weeks","RES 10K OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR2500002002FR500","Vishay Beyschlag/Draloric/BC Components","PPC20.0KYCT-ND","","R7","Cut Tape (CT)","Active","1","0.14000","$0.14","8991","15 Weeks","RES 20K OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"RNMF14FTC24K0","Stackpole Electronics Inc","S24KCACT-ND","","R12","Cut Tape (CT)","Active","1","0.10000","$0.10","6736","20 Weeks","RES 24K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"SFR16S0001003FR500","Vishay Beyschlag/Draloric/BC Components","PPC100KXCT-ND","","R2 R3 R22 R23","Cut Tape (CT)","Active","4","0.19000","$0.76","7291","18 Weeks","RES 100K OHM 1/2W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR2500002703FR500","Vishay Beyschlag/Draloric/BC Components","PPC270KYCT-ND","","R1","Cut Tape (CT)","Discontinued at Digi-Key","1","0.14000","$0.14","1758","Not Available","RES 270K OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"MBB02070C1504FCT00","Vishay Beyschlag/Draloric/BC Components","BC3622CT-ND","","R14","Cut Tape (CT)","Active","1","0.29000","$0.29","9171","8 Weeks","RES 1.5M OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR2500001004FR500","Vishay Beyschlag/Draloric/BC Components","PPC1.00MYCT-ND","","R15 R17","Cut Tape (CT)","Active","2","0.14000","$0.28","18070","15 Weeks","RES 1M OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"MBB02070C3304FCT00","Vishay Beyschlag/Draloric/BC Components","BC3749CT-ND","","R5","Cut Tape (CT)","Active","1","0.29000","$0.29","5927","8 Weeks","RES 3.3M OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"89210","NTE Electronics, Inc","2368-89210-ND","","C2 C3 C7","Bag","Active","25","0.11000","$2.75","150","Not Available","CAP-CER DISC 1000PF 50V","ROHS3 Compliant","Not Available","Not Available"
"89310","NTE Electronics, Inc","2368-89310-ND","","C1 C5","Bag","Active","25","0.15000","$3.75","2275","Not Available","CAP-CER DISC 10 000PF 50V","ROHS3 Compliant","Not Available","Not Available"
"89410","NTE Electronics, Inc","2368-89410-ND","","C4 C9 C11","Bag","Active","25","0.22000","$5.50","876","Not Available","CAP-CER .10UF 50V","ROHS3 Compliant","Not Available","Not Available"
"90150","NTE Electronics, Inc","2368-90150-ND","","C6","Bag","Active","25","0.17000","$4.25","767","Not Available","CAP-CER DISC 500PF 1KV","ROHS3 Compliant","Not Available","Not Available"
"1N4148","NTE Electronics, Inc","2368-1N4148-ND","","D1 D2","Bag","Active","25","0.05000","$1.25","42122","Not Available","D-SI 100PRV .01A","ROHS3 Compliant","Not Available","Not Available"
"151051RS11000","Würth Elektronik","732-5016-ND","","D4","Bulk","Active","1","0.16000","$0.16","5782","10 Weeks","LED RED DIFFUSED 5MM ROUND T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N5240BTR","ON Semiconductor","1N5240BFSCT-ND","","D3","Cut Tape (CT)","Active","1","0.14000","$0.14","21357","18 Weeks","DIODE ZENER 10V 500MW DO35","ROHS3 Compliant","Lead free","REACH Unaffected"
"61201021621","Würth Elektronik","732-2094-ND","","","Tray","Active","1","0.45000","$0.45","15887","14 Weeks","CONN HEADER VERT 10POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"PT10LV10-103A2020-S","Amphenol Piher Sensing Systems","1993-1116-ND","","","Bulk","Active","1","0.47000","$0.47","11503","6 Weeks","POT 10K OHM LINEAR","ROHS3 Compliant","Lead free","Not Available"
"PT10LV10-104A2020-PM-S","Amphenol Piher Sensing Systems","1993-1082-ND","","","Bulk","Active","1","0.47000","$0.47","2900","7 Weeks","POT 100K OHM LINEAR","ROHS3 Compliant","Lead free","Not Available"
"54-302PC","NTE Electronics, Inc","2368-54-302PC-ND","","","Bag","Active","1","1.49000","$1.49","163","Not Available","SW-TOGGLE SPDT 5A","ROHS3 Compliant","Not Available","Not Available"
"860020572003","Würth Elektronik","732-8937-1-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","2290","20 Weeks","CAP ALUM 10UF 20% 35V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"TL074CN","Texas Instruments","296-1777-ND","","","Tube","Active","1","0.65000","$0.65","3455","6 Weeks","IC OPAMP JFET 4 CIRCUIT 14DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"P0915N-FC15BR100K","TT Electronics/BI","987-1709-ND","","","Tray","Active","5","1.36000","$6.80","4171","12 Weeks","POT 100K OHM 1/20W PLASTIC LIN","ROHS3 Compliant","Lead free","REACH Unaffected"